intersection	direction	sample_index	selected_video	output_image
东海四街洪安20251224	东	1	/data3/VLA_LLM_DATA/东海四街洪安20251224/东/D2_20251223195021_20251223200653.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/东/01__D2_20251223195021_20251223200653.jpg
东海四街洪安20251224	东	2	/data3/VLA_LLM_DATA/东海四街洪安20251224/东/D2_20251223202325_20251223203957.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/东/02__D2_20251223202325_20251223203957.jpg
东海四街洪安20251224	东	3	/data3/VLA_LLM_DATA/东海四街洪安20251224/东/D2_20251223090532_20251223092204.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/东/03__D2_20251223090532_20251223092204.jpg
东海四街洪安20251224	东	4	/data3/VLA_LLM_DATA/东海四街洪安20251224/东/D2_20251223093836_20251223095508.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/东/04__D2_20251223093836_20251223095508.jpg
东海四街洪安20251224	东	5	/data3/VLA_LLM_DATA/东海四街洪安20251224/东/D2_20251223191717_20251223193349.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/东/05__D2_20251223191717_20251223193349.jpg
东海四街洪安20251224	北	1	/data3/VLA_LLM_DATA/东海四街洪安20251224/北/D1_20251223084423_20251223090137.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/北/01__D1_20251223084423_20251223090137.jpg
东海四街洪安20251224	北	2	/data3/VLA_LLM_DATA/东海四街洪安20251224/北/D1_20251223181302_20251223183016.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/北/02__D1_20251223181302_20251223183016.jpg
东海四街洪安20251224	北	3	/data3/VLA_LLM_DATA/东海四街洪安20251224/北/D1_20251223091851_20251223093606.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/北/03__D1_20251223091851_20251223093606.jpg
东海四街洪安20251224	北	4	/data3/VLA_LLM_DATA/东海四街洪安20251224/北/D1_20251223080000_20251223080956.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/北/04__D1_20251223080000_20251223080956.jpg
东海四街洪安20251224	北	5	/data3/VLA_LLM_DATA/东海四街洪安20251224/北/D1_20251223192158_20251223193912.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/北/05__D1_20251223192158_20251223193912.jpg
东海四街洪安20251224	南	1	/data3/VLA_LLM_DATA/东海四街洪安20251224/南/D3_20251223180017_20251223181649.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/南/01__D3_20251223180017_20251223181649.jpg
东海四街洪安20251224	南	2	/data3/VLA_LLM_DATA/东海四街洪安20251224/南/D3_20251223184953_20251223190625.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/南/02__D3_20251223184953_20251223190625.jpg
东海四街洪安20251224	南	3	/data3/VLA_LLM_DATA/东海四街洪安20251224/南/D3_20251223190625_20251223192257.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/南/03__D3_20251223190625_20251223192257.jpg
东海四街洪安20251224	南	4	/data3/VLA_LLM_DATA/东海四街洪安20251224/南/D3_20251223195601_20251223201233.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/南/04__D3_20251223195601_20251223201233.jpg
东海四街洪安20251224	南	5	/data3/VLA_LLM_DATA/东海四街洪安20251224/南/D3_20251223192257_20251223193929.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/南/05__D3_20251223192257_20251223193929.jpg
东海四街洪安20251224	西	1	/data3/VLA_LLM_DATA/东海四街洪安20251224/西/D4_20251223205620_20251223205959.mp4	/home/wangzhe/VLM/images/random5_per_camera/东海四街洪安20251224/西/01__D4_20251223205620_20251223205959.jpg
