index,path,video_count,total_duration_seconds,total_duration_hms,failed_count,failed_files
1,东海四街洪安20251224/东,16,15872.302,04:24:32,0,
2,东海四街洪安20251224/北,16,16541.954,04:35:42,0,
3,东海四街洪安20251224/南,17,16888.353,04:41:28,0,
4,东海四街洪安20251224/西,22,21824.420,06:03:44,0,
5,柏公路永安北一街20251225/东,26,15587.000,04:19:47,0,
6,柏公路永安北一街20251225/南,22,13186.241,03:39:46,0,
7,柏公路永安北一街20251225/西/西,25,14985.400,04:09:45,0,
8,柏公路永安北二街20251225/东,26,15585.000,04:19:45,0,
9,柏公路永安北二街20251225/北,26,15587.000,04:19:47,0,
10,柏公路永安北二街20251225/南,26,15591.561,04:19:52,0,
11,柏公路永安北二街20251225/西,26,15585.000,04:19:45,0,
12,深盐梧桐20251219/东,18,383614.567,106:33:35,0,
13,深盐梧桐20251219/北,13,286903.385,79:41:43,0,
14,深盐梧桐20251219/南,14,287987.461,79:59:47,0,
15,深盐梧桐20251219/西,17,473148.888,131:25:49,0,
16,深盐沙深20251218/东,12,285863.378,79:24:23,0,
17,深盐沙深20251218/北,15,380114.916,105:35:15,0,
18,深盐沙深20251218/南,17,382442.539,106:14:03,0,
19,深盐沙深20251218/西,18,383534.889,106:32:15,0,
20,深盐海山20251217/东,14,287980.885,79:59:41,0,
21,深盐海山20251217/北,14,379727.247,105:28:47,0,
22,深盐海山20251217/南,7,97896.947,27:11:37,0,
23,深盐海山20251217/西,23,478846.814,133:00:47,0,
24,红荔西路农轩20251230/东,22,195970.085,54:26:10,0,
25,红荔西路农轩20251230/北,21,477497.805,132:38:18,0,
26,红荔西路农轩20251230/南,20,476462.371,132:21:02,0,
27,红荔西路农轩20251230/西,23,570824.769,158:33:45,0,
28,红荔西路彩田路202617/东,24,571761.062,158:49:21,0,
29,红荔西路彩田路202617/北,25,572798.166,159:06:38,0,
30,红荔西路彩田路202617/南,25,572797.634,159:06:38,0,
31,红荔西路彩田路202617/西,45,664804.866,184:40:05,0,
32,红荔西路益田路2026116/东,26,664429.082,184:33:49,0,
33,红荔西路益田路2026116/南,22,569209.116,158:06:49,0,
34,红荔西路益田路2026116/西,26,571449.561,158:44:10,0,
35,罗田宝源南路20260108/东,55,31725.901,08:48:46,0,
36,罗田宝源南路20260108/北,42,24226.904,06:43:47,0,
37,罗田宝源南路20260108/南,43,24805.404,06:53:25,0,
38,罗田宝源南路20260108/西,44,25382.905,07:03:03,0,
39,金融海景二2025.12.18/东,12,24765.036,06:52:45,0,
40,金融海景二2025.12.18/北,13,26822.121,07:27:02,0,
41,金融海景二2025.12.18/南,12,24186.305,06:43:06,0,
42,金融海景二2025.12.18/西,11,22694.636,06:18:15,0,
summary,/home/wangzhe/VLM/scripts/video_path_list.txt,941,10397909.876,2888:18:30,0,
